,unified_app_id,app_name,absolute_downloads,delta_downloads,transformed_delta_downloads,absolute_revenue,delta_revenue,transformed_delta_revenue,publisher_name,publisher_country,icon_url
195,5b7866d87ef3b1722cd404fb,Fix Price: доставка,5746072,1168304,0.2552125839492084,0.0,0.0,0.0,FixPrice Russia,,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/36/2e/bb/362ebbe6-7846-cb1c-4d67-2db1d36becb7/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
196,56cbb1c54169cd3753000a42,Alfa Gift - Alfamart,5742957,2472806,0.756174867766045,0.0,0.0,0.0,PT. Global Loyalty Indonesia,,https://is3-ssl.mzstatic.com/image/thumb/Purple112/v4/ea/28/12/ea281234-9d44-fcc8-df38-4a08564bc11b/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
197,568e4c6edcd975ea2500bf86,Simpl Pay,5729307,3646482,1.75073854020381,0.0,0.0,0.0,Get Simpl Technologies,,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/8f/a1/42/8fa14225-2b8c-a806-121f-4ab011c4089b/AppIcon-0-0-1x_U007emarketing-0-0-0-4-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
198,5af01d832c8dd43e6c971732,Fashion Nova,5697706,-117313,-0.02017413872594397,0.0,0.0,0.0,Fashion Nova Inc.,,https://is3-ssl.mzstatic.com/image/thumb/Purple122/v4/9d/eb/0b/9deb0b72-7fad-5142-ee44-6863388ce864/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
199,5890099438b0b56cba000810,Lifestyle - Online Shopping Fo,5667870,2856127,1.015785226459175,0.0,0.0,0.0,Landmark Online India Pvt. Ltd.,India,https://assets.sensortower-china.com/FUtIkY7TkLUFUcX67W3lvWefZr1yurvWwkWfpvGtDiK1VXrGCmQ27fJt3ROqZv5q3Q=s150
200,5809e2a50211a61bc100022b,СберМаркет: Доставка продуктов,5662022,-567766,-0.09113729070716371,0.0,0.0,0.0,Instamart,Russia,https://is3-ssl.mzstatic.com/image/thumb/Purple112/v4/bd/3e/aa/bd3eaa1f-5504-6183-b83e-d563784b85f7/AppIcon-1x_U007emarketing-0-7-0-85-220.png/450x450bb.jpg
201,607fe2f0c0eb7a101b0cd3ed,"Karaca: Ev, Yaşam ve Mutfak",5655120,4155023,2.76983621725795,0.0,0.0,0.0,Karaca Zuccaciye Tic. ve San. A.S.,,https://is4-ssl.mzstatic.com/image/thumb/Purple123/v4/49/46/bd/4946bd92-348c-0e24-5a8b-99c3a28e10cb/AppIcon-Geek-0-1x_U007emarketing-0-10-0-sRGB-85-220.png/450x450bb.jpg
202,55d93b7002ac645ad207899f,Wendy's UK,5620986,-501307,-0.08188222941959818,0.0,0.0,0.0,WENDY'S RESTAURANTS OF U.K. LIMITED,,https://is2-ssl.mzstatic.com/image/thumb/Purple112/v4/b4/cc/f2/b4ccf209-1e30-30a7-564c-d51d95bfc41a/AppIcon-0-0-1x_U007emarketing-0-0-0-2-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
203,55d5417985add445250012ff,Falabella - Compra online,5562229,2358784,0.7363272976436305,0.0,0.0,0.0,Falabella Retail S.A.,Chile,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/a8/06/dc/a806dc70-dcbb-6c7a-a842-120a5e6c12ee/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
204,558e13a89df56b1f2b0005e4,Decolar.com,5560601,418157,0.08131483784752931,0.0,0.0,0.0,Decolar.com,,https://is5-ssl.mzstatic.com/image/thumb/Purple122/v4/e2/77/41/e27741b1-9fe6-652c-2395-fe754dcbedde/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
205,55d93db602ac645ad20e2e80,叮咚买菜 - 想吃什么 就上叮咚,5555340,-2268858,-0.2899796247487602,0.0,0.0,0.0,"Shanghai 100 meters Network Technology Co., Ltd.",China,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/06/83/11/068311bd-bab3-3339-6ff7-33437c59e44f/AppIcon-0-0-1x_U007emarketing-0-0-0-5-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
206,55553787a55aa6b6c9023758,Banggood Global Online Shop,5512889,-6231445,-0.530591602725195,0.0,0.0,0.0,"Banggood Co.,Ltd",China,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/e9/db/19/e9db1995-11c6-f776-0ba9-a77faa3e8543/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
207,57039d283825d37bb30007fb,Kaufland: Supermarket Offers,5450186,1615037,0.421114538183523,0.0,0.0,0.0,Schwarz IT KG,Germany,https://is2-ssl.mzstatic.com/image/thumb/Purple122/v4/af/64/f1/af64f1ac-d2b0-2654-f66d-1f6f727500e4/AppIcon-1x_U007emarketing-0-10-0-85-220.png/450x450bb.jpg
208,537cc5e5830f782dbe010f44,PAYBACK - Karte und Coupons,5444159,-238201,-0.04191937856805975,0.0,0.0,0.0,PAYBACK GmbH,Germany,https://is5-ssl.mzstatic.com/image/thumb/Purple112/v4/91/3e/30/913e301d-a10b-5348-3f20-0ac4f7aa41b1/AppIcon-1x_U007emarketing-0-7-0-85-220.png/450x450bb.jpg
209,5810fe448cd4531251000ae1,ЛЭТУАЛЬ: духи,5422466,3790873,2.323418278945791,0.0,0.0,0.0,ALKOR & CO LLC,,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/e3/42/fe/e342fe05-7788-bb6a-9b88-47f4042f5179/AppIcon-0-1x_U007emarketing-0-7-0-85-220.png/450x450bb.jpg
210,5c891486cff1445ebab6ede7,"Привет, Мир!",5392032,4555021,5.442008527964387,0.0,0.0,0.0,NSPK,Russia,https://is1-ssl.mzstatic.com/image/thumb/Purple122/v4/a0/93/49/a0934967-2fa7-6286-9edd-52d4f11e1873/AppIcon-0-0-1x_U007emarketing-0-0-0-5-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
211,589c2f920211a64f6e00006e,QR Code Reader ·,5322575,-5661804,-0.5154414282318555,12387126.02857143,-5540552.642857144,-0.3090501979872692,TinyLab,,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/d1/d7/cf/d1d7cf5e-3082-9e1d-73dc-7188d99d9846/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
212,59bb40134216246edc0082f0,efootwear.eu online shoe store,5310104,1479338,0.386172895969109,0.0,0.0,0.0,Modivo S.A.,,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/2a/9b/f4/2a9bf46f-8cbf-62c4-a44d-697b2d4fc26c/AppIcon-0-1x_U007emarketing-0-7-0-85-220.png/450x450bb.jpg
